Summary,Keywords,Meaningful keywords,IoCs
"North Korean Lazarus Group is targeting crypto funds with a new spin on an old trick https://t.co/EGeguroDqu News

Microsoft and cybersecurity firm Volexity have traced a new version of AppleJeus malware to the hackers behind the Ronin exploit and numerous other online heists. https://t.co/z0WFIgRBGG","[['malware', 'applejeus', 'cryptocurrency', 'lazarus', 'volexity', 'cybersecurity', 'threat', 'microsoft', 'actor', 'group']]","[""['applejeus', 'malware'], ['volexity', 'organization'], ['microsoft', 'organization']""]",none
"RT TheHackersNews ""Hackers are actively exploiting an unauthenticated RCE #vulnerability (CVE-2022-26134) in unpatched Atlassian Confluence servers to deploy #cryptocurrency mining #malware.

Read: https://t.co/u6WA3BAsLO

#infosec #cybersecurity #hacking"" Stay up-to-date: ausr…","[['cve-2022', 'atlassian', 'confluence', 'vulnerability', 'cryptocurrency', 'mining', 'cybersecurity', 'malware', 'bug', 'rce']]","[""['tac-040', 'indicator'], ['vulnerability', 'vulnerability']""]","['CVE-2022-26134', '106.252.252.226', 'T1518', 'T1053.003', 'T1222.002', 'T1190', 'T1564.001', 'T1562.004', 'T1018', 'T1574.007', 'T1070.004', 'T1496', 'T1021.004', 'T1082', '/etc/ld.so', '/root and /home directories, the script scans for secure shell protocol (SSH) users, keys, and hosts in the .ssh']"
"RT kaspersky ""#ATM and #PoS malware attacks remain lucrative for #hackers as the number of #incidents continue to grow. 
We take a look at how ATM &amp; PoS #malware landscape has changed in 2020-2022. 👇  https://t.co/VV81n5v32p""","[['pos', 'malware', 'atm', 'landscape', 'cybersecurity', 'look', 'attacks', 'infosec', 'details', 'amp']]","[""['kaspersky', 'organization'], ['pos', 'indicator']""]",['5:00pm 75 min Crimeware and financial predictions for 2023 Marc Rivero Dan Demeter Dmitry Galov Reports Not just an infostealer: Gopuram backdoor deployed through 3CX supply chain attack A DLL named guard64.dll']
"Researchers Reveal Details of New Threats: AXLocker, Octocrypt and Alice Ransomware

Cyble Research and Intelligence Labs has discovered three new ransomware families that encrypt the victims documents and enable a Discor...
#Cybersecurity #Technology
https://t.co/beS0mu474E","[['axlocker', 'ransomware', 'alice', 'octocrypt', 'threats', 'cybersecurity', 'new', 'cyble', 'security', 'wave']]","[""['cyble', 'organization'], ['alice', 'malware'], ['octocrypt', 'malware']""]",['346e7a626d27f9119b795c889881ed3d']
"☠️ Yanluowang #Ransomware Leaks Analysis: Organization, Collaboration with HelloKitty, Babuk and Conti https://t.co/Ul3OsSGl92 via @Trellix #DFIR #infosec https://t.co/4g96swV0js","[['yanluowang', 'hellokitty', 'collaboration', 'babuk', 'conti', 'ransomware', 'organization', 'analysis', 'leaks', 'group']]","[""['trellix', 'organization'], ['killanas', 'gpe'], ['yanluowang', 'gpe'], ['conti', 'indicator']""]",none
"Russian #Turla #Hackers Hijack Decade-Old #Malware Infrastructure to Deploy New Backdoors
https://t.co/qhxBMJoVuw

#CyberEspionage group observed piggybacking old attack infrasctructure to target Ukraine.
#CyberSecurity #InfoSec #UNC4210 #CyberCrime #Hacking #CyberWar","[['decade', 'malware', 'old', 'hijack', 'turla', 'infrastructure', 'hackers', 'backdoors', 'new', 'cybersecurity']]","[""['russian', 'norp'], ['turla', 'organization']""]",none
"New Boldmove Linux malware used to backdoor Fortinet devices - Suspected Chinese hackers exploited a recently disclosed FortiOS SSL-VPN vulnerability as a zero-day in December, targeting a European government and an African MSP with a new custom 'BOLDMOV… https://t.co/ZbKB2PANWx","[['vulnerability', 'fortios', 'malware', 'boldmove', 'ssl', 'fortinet', 'vpn', 'hackers', 'cybersecurity', 'day']]","[""['boldmove', 'malware']""]",['CVE-2022-42475']
Beware: Cybercriminals Launch New BrasDex Android Trojan Targeting Brazilian Banking Users: The threat actors behind the Windows banking malware known as Casbaneiro has been attributed as behind a novel Android trojan called BrasDex… https://t.co/KeRXO71c23 DeepBlue Security https://t.co/5mQRU7fDeA,"[['android', 'casbaneiro', 'brasdex', 'malware', 'banking', 'trojan', 'new', 'users', 'actors', 'windows']]","[""['brasdex', 'malware'], ['android', 'system'], ['windows', 'system'], ['casbaneiro', 'malware'], ['trojan', 'person']""]",none
"The threat actors behind the Black Basta ransomware family have been observed using the Qakbot trojan to deploy the Brute Ratel C4 framework as a second-stage payload in recent attacks.

#cybersecurity #security #infosec #infosecurity #ransomware #cyberattack #malware #hacker https://t.co/nKICzKgimj","[['ransomware', 'black', 'basta', 'qakbot', 'cybersecurity', 'hackers', 'brute', 'threat', 'ratel', 'actors']]","[""['qakbot', 'malware']""]",none
China-linked UNC4191 APT relies on USB Devices in attacks against entities in the Philippines: https://t.co/GBxYwaTas0 by Security Affairs  #infosec #software #technology,"[['usb', 'unc4191', 'devices', 'entities', 'attacks', 'apt', 'philippines', 'china', 'malware', 'group']]",none,['T1091']
"Trend Micro CopperStealer Distributes Malicious Chromium-based Browser Extension to Steal Cryptocurrencies: We tracked the latest deployment of the group behind CopperStealer, this time stealing cryptocurrencies and users’ wallet account information via… https://t.co/Ulj6sQqVAN https://t.co/y3H0VH7Ho0","[['copperstealer', 'chromium', 'cryptocurrencies', 'browser', 'extension', 'malicious', 'cybersecurity', 'steal', 'malware', 'distributes']]",none,"['/traffic/domain , wherein the data contains the domains of cryptocurrency-related websites based on the cookies found in the machine: blockchain.com']"
"Researchers have linked the hacker group ""Keksec"" to a new campaign that uses malicious Chromium-based browser extensions to spy on machines compromised by the Cloud9 botnet.

Details: https://t.co/vQTouZvN9U

#infosec #cybersecurity #hacking #Google #Chrome #technews https://t.co/UM8nvaXzU8","[['keksec', 'chrome', 'cybersecurity', 'chromium', 'researchers', 'browser', 'hacker', 'details', 'group', 'google']]","[""['zimperium', 'organization'], ['google', 'organization'], ['keksec', 'org'], ['cloud9', 'system']""]","['CVE-2016-7200', 'CVE-2014-6332', 'CVE-2016-0189', 'CVE-2019-9810', 'CVE-2019-11708']"
"■■□□□ Cyber-Attack: A ransomware attack has forced a hospital in France to send patients elsewhere.

The Centre Hospitalier Sud Francilien (CHSF) says the ransomware attack made ""all the hospital's business software, storage systems (including me… https://t.co/DOmkpMql3g","[['hospital', 'chsf', 'hospitalier', 'attack', 'sud', 'francilien', 'ransomware', 'center', 'patients', 'cyberattack']]","[""['dans', 'norp']""]",none
"Serverless Delivery Lifecycle

Part 1 - Local
⌨️ Machine: Engineer's laptop
⛴ Target Env: Dev
✅ Tasks: Build, deploy
⏱ Pipeline: &lt;1min

Part 2 - Remote
🌩 Machine: GitHub Actions, CircleCI etc
🛳 Target Env: Prod
✅ Tasks: Human review, build, test, deploy
⏱ Pipeline: &lt;1hr https://t.co/hbk7jm2P0h","[['engineer', 'circleci', 'malware', 'laptop', 'session', 'security', 'leads', 'incident', 'hack', 'recent']]","[""['github', 'organization'], ['circleci', 'organization'], ['ci', 'indicator']""]",none
#CircleCI confirms customer data was stolen in malware-powered hack https://t.co/4mzOqCIWdx  #CyberAttack #Malware #SecurityBreach #DataTheft #CustomerData #DeviceSecurity #DataSecurity #InfoSec #ThreatActors #CyberThreats #CyberRisk #Cybersecurity #CyberAwareness #Security,"[['malware', 'circleci', 'data', 'hack', 'customer', 'post', 'security', 'w', 'infosec', 'threatactors']]",none,none
"Researchers have linked the hacker group ""Keksec"" to a new campaign that uses malicious Chromium-based browser extensions to spy on machines compromised by the Cloud9 botnet.

Details: https://t.co/vQTouZvN9U

#infosec #cybersecurity #hacking #Google #Chrome #technews https://t.co/UM8nvaXzU8","[['keksec', 'cloud9', 'cybersecurity', 'chrome', 'browser', 'group', 'malware', 'chromium', 'researchers', 'extensions']]","[""['zimperium', 'organization'], ['google', 'organization'], ['keksec', 'org'], ['cloud9', 'system']""]","['CVE-2016-7200', 'CVE-2014-6332', 'CVE-2016-0189', 'CVE-2019-11708', 'CVE-2019-9810']"
"Chinese Hackers Targeting Online Casinos with GamePlayerFramework Malware

An advanced persistent threat (APT) group of Chinese origin codenamed DiceyF has been linked to a string of attacks aimed at online casinos in Southeast Asia for years. Russian cybersecurity company K…","[['hackers', 'malware', 'diceyf', 'casinos', 'cybersecurity', 'apt', 'string', 'online', 'infosec', 'attacks']]",none,none
"Malware dev open-sources CodeRAT after being exposed

The source code of a remote access trojan (RAT) dubbed 'CodeRAT' has been leaked on GitHub after malware analysts confronted the developer about attacks that used the tool. [...]

via BleepingComputer (author: Bill Toulas).","[['malware', 'sources', 'dev', 'cybersecurity', 'coderat', 'infosec', 'source', 'github', 'bleepingcomputer', 'trojan']]",none,none
"Crypto Miners Using Tox P2P Messenger as Command and Control Server: Threat actors have begun to use the Tox peer-to-peer instant messaging service as a command-and-control method, marking a shift from its earlier role as a contact method for ransomware… https://t.co/vhYlJWmpeZ","[['peer', 'tox', 'command', 'messaging', 'cybersecurity', 'control', 'service', 'actors', 'threat', 'infosec']]","[""['tox', 'organization']""]",none
"@kaspersky experts take a look at #Prilex, a Brazilian #threatactor that used to focus solely on ATM #malware, but now targets #PoS systems. In one of the largest #ATM attacks, they infected over 1k machines and cloned 28k #creditcards. More details: https://t.co/wzR3BlWH27 https://t.co/EL72DngVDO","[['atm', 'details', 'experts', 'prilex', 'threatactor', 'look', '@kaspersky', 'malware', 'https://t.co/stdrflk1m7', 'https://t.co/nygevah02d']]","[""['prilex', 'malware'], ['kaspersky', 'malware']""]",none
"The ALPHV ransomware gang, aka BlackCat, has claimed responsibility for an attack against Creos Luxembourg S.A. last week, a natural gas pipeline and electricity network operator in the central European country.

https://t.co/snteishclz

#cybersecurity #ransomware #cyberattack","[['blackcat', 'creos', 'luxembourg', 'ransomware', 's.a.', 'gang', 'alphv', 'data', 'cyberattack', 'cybersecurity']]",none,none
Multi-stage crypto-mining malware hides in legitimate apps with month-long delay trigger: The Nitrokod cryptocurrency mining campaign goes to great lengths to avoid detection and can remain active for a number of years. https://t.co/evZmP9muPL,"[['malware', 'mining', 'apps', 'month', 'crypto', 'delay', 'trigger', 'stage', 'cybersecurity', 'campaign']]","[""['nitrokod', 'organization']""]",none
"WARNING: cryptocurrency-mining malware is being spread disguised as legitimate-looking applications, such as Google Translate, on free software download sites and through Google searches. It is recommended to uninstall asap.  
#maleware  #Nitrokod
https://t.co/qRSxLecUB0","[['malware', 'mining', 'google', 'translate', 'cryptocurrency', 'applications', 'crypto', 'software', 'app', 'windows']]",none,none
"Hackers Targeting WebLogic Servers and Docker APIs for Mining Cryptocurrencies

Malicious actors such as Kinsing are taking advantage of both recently disclosed and older security flaws in Oracle WebLogic Server to deliver cryptocurrency-mining malware. Cybersecurity company…","[['weblogic', 'mining', 'cybersecurity', 'malware', 'cryptocurrency', 'oracle', 'hackers', 'vulnerabilities', 'actors', 'server']]",none,"['CVE-2020-14882', 'CVE-2022-26134']"
"New SHC-compiled Linux malware installs cryptominers, DDoS bots https://t.co/UadMfeJYuf #cyber  #awareness #threatintell #CTI #intelligence #detect_and_response #EDR #XDR #CyberThreat #CyberThreatIntelligence #Zeroday #Vulnerability #RiskManagement #VulnerabilityAssesment #Thir…","[['malware', 'linux', 'shc', 'ddos', 'new', 'cryptominers', 'bots', 'cybersecurity', 'infosec', 'xdr']]",none,none
"Chaos Malware Resurfaces With All-New DDoS &amp; Cryptomining Modules: The previously identified ransomware builder has veered in an entirely new direction, targeting consumers and business of all sizes by exploiting known CVEs through brute-forced and/or… https://t.co/i05fjpiNHW https://t.co/Y1KNlupVnE","[['malware', 'resurfaces', 'chaos', 'new', 'ddos', 'amp', 'modules', 'cybersecurity', 'business', 'consumers']]",none,"['CVE-2017-17215', 'CVE-2022-30525']"
"Magento Vulnerability Increasingly Exploited to Hack Online Stores: E-commerce malware and vulnerability detection firm Sansec warns of a surge in cyberattacks targeting CVE-2022-24086, a critical mail template vulnerability affecting Adobe Commerce and… https://t.co/NoejfhUt05","[['magento', 'vulnerability', 'sansec', 'surge', 'adobe', 'cve-2022', 'template', 'commerce', 'security', 'stores']]","[""['adobe', 'organization'], ['sansec', 'organization'], ['vulnerability', 'vulnerability']""]",none
"Unusual to see malware this sophisticated while also being multi-platform.

""ARM, Intel (i386), MIPS and PowerPC – in addition to both Windows and Linux operating systems. Chaos propagates through known CVEs and brute forced as well as stolen SSH keys.""

https://t.co/NvsdPpK1CS https://t.co/MmD7sXGCwq","[['chaos', 'brute', 'cves', 'malware', 'modules', 'addition', 'direction', 'business', 'sizes', 'windows']]","[""['windows', 'system']""]",none
"New BadBazaar Android malware linked to Chinese cyberspies

A previously undocumented Android spyware tool named 'BadBazaar' has been discovered targeting ethnic and religious minorities in China, most notably the Uyghurs in Xinjiang. [...]

via BleepingComputer (author: Bil…","[['badbazaar', 'cyberspies', 'malware', 'android', 'new', 'cybersecurity', 'chinese', 'security', 'infosec', 'uyghurs']]",none,none
"Self&amp;Replicating Malware Used by Chinese Cyberspies Spreads via USB Drives: A China-linked cyberespionage group tracked as UNC4191 has been observed using self-replicating malware on USB drives to infect targets, and… https://t.co/wOadhfxtDj #security #cybersecurity #technology","[['malware', 'self', 'usb', 'cyberspies', 'spreads', 'drives', 'cybersecurity', 'security', 'infosec', 'securityweek']]",none,none
Russian Turla Cyberspies Leveraged Other Hackers' USB-Delivered Malware via OODA Loop - Russian state-sponsored threat actor Turla has been identified leveraging Andromeda malware to attack Ukrainian organizations. The malware ... https://t.co/M3tUhQoSOw,"[['turla', 'malware', 'hackers', 'leveraged', 'usb', 'cyberspies', 'russian', 'cybersecurity', '|', 'infosec']]",none,none
"Darknet's Largest Mobile Malware Marketplace Threatens Users Worldwide
https://t.co/9ZTFMqCTCT
Cybersecurity researchers have shed light on a darknet marketplace called InTheBox that's designed to specifically cater to mobile malware operators. The actor behind the criminal store","[['malware', 'darknet', 'marketplace', 'cybersecurity', 'inthebox', 'mobile', 'light', 'researchers', 'threatens', 'users']]",none,none
"Researchers Detail Evasive DarkTortilla Crypter Used to Deliver Malware

A .NET-based evasive crypter named DarkTortilla has been used by threat actors to distribute a broad array of commodity malware as well as targeted payloads like Cobalt Strike and M https://t.co/GBCFeQCmeq","[['darktortilla', 'crypter', 'malware', 'payloads', '.net', 'evasive', 'threat', 'researchers', 'strike', 'cobalt']]",none,none
"Cyble Research &amp; Intelligence Labs analyzes DarkTortilla, a sophisticated malware spreading via Phishing sites.  
https://t.co/341YAnUDNX

#DarkTortilla #Malware #Phishing #ThreatIntelligence #Grammarly #Cisco","[['darktortilla', 'malware', 'cisco', 'grammarly', 'phishing', 'sophisticated', 'sites', 'imposter', 'pages', 'cybersecurity']]","[""['cyble', 'organization'], ['darktortilla', 'malware'], ['singapore', 'gpe'], ['cisco', 'organization']""]",none
"Donut extortion group also targets victims with ransomware 
#SEO #Google #Apple  #IOS #cybersecurity #Robotics #AI 
https://t.co/WZwVzckKKk

The Donut (D0nut) extortion group has been confirmed to deploy ransomware in double-extortion attacks on the enterprise.
Bleeping... https://t.co/OQtyUoAQPD","[['group', 'extortion', 'cybersecurity', 'donut', 'ransomware', 'd0nut', 'victims', 'attacks', 'enterprises', 'bleepingcomputer']]",none,none
"Scams: top of online searches

Searchers, beware: That @Google​, @bing, or @DuckDuckGo ad might be ‘malvertising’ — phishing campaigns and malware hiding behind legit-looking links

#USA #uspoli #Canada #cdnpoli #UK #Australia #Google #Bing #DuckDuckGo 
https://t.co/i8CFPoKLLV","[['campaigns', 'ad', 'bing', 'malware', 'links', 'duckduckgo', 'google', 'searchers', 'searches', 'scams']]","[""['google', 'organization'], ['microsoft', 'organization'], ['washington', 'gpe'], ['bing', 'system'], ['duckduckgo', 'organization']""]",none
DuckLogs is a new MaaS platform providing low-skilled attackers easy access to modules that can steal sensitive information. This web-based subscription has launched 4000 malware builds and has claimed over 6000 victims #CyberSecurity #Ransomware #Promo https://t.co/vh6jFXvJCz,"[['malware', 'ducklogs', 'access', 'service', 'information', 'modules', 'attackers', 'maas', 'claims', 'operation']]",none,none
"Trend Micro researchers look into five banking malware families (Elibomi, FakeReward, AxBanker, IcRAT &amp; IcSpy) targeting customers of banks in India, the common entry point being a text message with a phishing link. https://t.co/aZOqpG0e5s https://t.co/u8mvgU6QcV","[['banks', 'cybersecurity', 'customers', 'malware', 'researchers', 'campaigns', 'banking', 'mobilesecurity', 'infosec', 'elibomi']]","[""['elibomi', 'malware'], ['india', 'gpe'], ['fakereward', 'malware']""]",none
"With its steady evolution over the last 8 years, #Emotet's evasion tactics have become increasingly sophisticated. Get up to speed on the #malware's latest tricks to fool users &amp; avoid detection:

#BlackBerry #cybersecurity https://t.co/UJoGwojc2p","[['amp', 'detection', 'users', 'evolution', 'tricks', 'emotet', 'malware', '8+years', 'evasion', 'tactics']]","[""['emotet', 'malware']""]",none
The notorious Emotet malware has returned with renewed vigor as part of a high-volume malspam campaign designed to drop payloads like IcedID and Bumblebee https://t.co/h1XoKa18D8 @riskigy #cybersecurity #riskigy #security #phishing #ransomware #cyberattack #cybercrime #databreach https://t.co/ukgFtbGi6v,"[['malware', 'emotet', 'volume', 'malspam', 'campaign', 'returns', 'notorious', 'cybersecurity', 'infosec', 'security']]","[""['bumblebee', 'malware']""]",none
"Colombian energy supplier EPM hit by BlackCat ransomware attack

Colombian energy company Empresas Publicas de Medellin (EPM) suffered a BlackCat/ALPHV ransomware attack on Monday, disrupting the company's ...
#Technology #Colombia #Cybersecurity #EPM
https://t.co/Iv3gBmAMKu","[['epm', 'energy', 'blackcat', 'empresas', 'company', 'de', 'medellín', 'attack', 'publicas', 'ransomware']]",none,none
"RT TheHackersNews ""Another #Android malware for rent has emerged - Hook with RAT capabilities. The threat actor behind BlackRock and ERMAC trojans is at it again.

Read: https://t.co/Ec9asLxijE

Stay informed and stay protected

#cybersecuity #malware #hacking"" Stay up-to-date:…","[['rt', 'android', 'malware', 'rent', 'hook', 'rat', 'capabilities', 'threat', 'actor', 'blackrock']]","[""['android', 'system'], ['hook', 'malware'], ['ermac', 'organization']""]",none
"hard to say where it goes, but europe’s in deep trouble. model sweden fallen, italy gone to self-described “post-fascists”, an economic crisis of unclear and to some extent immeasurable dimensions, and great uncertainty, while the atlantic protects the u.s.","[['self', 'europe', 'clark', 'arnold', 'website', 'customers', 'retailer', 'car', 'play', 'ransomware']]","[""['europe', 'loc'], ['atlantic', 'loc']""]",none
"#Microsoft Reveals Tactics Used by 4 #Ransomware Families Targeting #macOS
https://t.co/NbKJLPxnwW

Sheds light on #KeRanger, #FileCoder, #MacRansom, and #EvilQuest families known to impact #Apple systems.
#CyberSecurity #InfoSec #Malware #CyberCrime #ThreatIntelligence","[['ransomware', 'microsoft', 'families', 'macos', 'keranger', 'macransom', 'filecoder', 'evilquest', 'cybersecurity', 'malware']]","[""['microsoft', 'org']""]",none
"Noberus Ransomware: Darkside and BlackMatter Successor Continues to Evolve its Tactics

https://t.co/IGVkYX5M20

Security
Noberus Ransomware: Darkside and BlackMatter Successor Continues to Evolve its Tactics
New version of Exmatter, and Eamfo malware, … https://t.co/AH5loJ1Wmi https://t.co/z0ZLF4XLV0","[['eamfo', 'exmatter', 'blackcat', 'ransomware', 'malware', 'noberus', 'attackers', 'version', 'alphv', 'tools']]","[""['noberus', 'organization'], ['coreid', 'organization'], ['exmatter', 'malware'], ['darkside', 'malware']""]",none
"Supply Chain Attack pushes out malware to more than 250 media websites. TA569 has modified the JavaScript of a legitimate content and advertising engine used by news affiliates, in order to spread the FakeUpdates initial access framework. https://t.co/5jhgUbZPla

#cybersecurity https://t.co/cJl5FAwqa3","[['malware', 'fakeupdates', 'news', 'supply', 'sites', 'chain', 'u.s.', 'attack', 'websites', 'media']]","[""['ta569', 'malware']""]",none
"North Korean cyber espionage group Kimsuky has been observed deploying three new #Android #malware strains (FastFire, FastViewer, and FastSpy) to attack users in its southern counterpart.

Read: https://t.co/yhGI6AaZCZ

#infosec #hacking #cybersecurity #infosecurity #technology","[['malware', 'fastviewer', 'fastspy', 'kimsuky', 'fastfire', 'cybersecurity', 'android', 's2w', 'group', 'apks']]","[""['kimsuky', 'malware']""]",none
